,id_depto,grupo_etario,habitantes
932,70049,12-18,1047.0
933,70049,19-65,5263.0
934,70070,0-5,7282.0
935,70098,6-11,6657.0
936,70119,>65,852.0
937,74014,>65,794.0
938,74049,12-18,4569.0
939,74049,19-65,24363.0
940,74056,6-11,24700.0
941,74063,0-5,327.0
942,78007,>65,896.0
943,78028,12-18,3093.0
944,78028,19-65,16007.0
945,78035,6-11,1375.0
946,78042,>65,827.0
947,82014,6-11,7096.0
948,82021,>65,21143.0
949,82028,6-11,8043.0
950,82042,6-11,17783.0
951,82049,12-18,22348.0
952,82049,19-65,119457.0
953,82056,12-18,7235.0
954,82056,19-65,43700.0
955,82091,>65,8289.0
956,82105,12-18,8888.0
957,82105,19-65,50794.0
958,82126,>65,9122.0
959,82133,0-5,4985.0
960,86021,>65,1240.0
961,86042,>65,848.0
962,86049,0-5,26352.0
963,86056,6-11,4205.0
964,86063,>65,4446.0
965,86084,0-5,900.0
966,86091,6-11,1990.0
967,86105,>65,1976.0
968,86112,>65,161.0
969,86140,>65,1234.0
970,86154,6-11,561.0
971,86161,6-11,6060.0
972,86168,0-5,1294.0
973,86175,12-18,1737.0
974,86175,19-65,5947.0
975,86182,6-11,630.0
976,90007,6-11,5233.0
977,90014,12-18,28012.0
978,90014,19-65,136365.0
979,90035,>65,1519.0
980,90049,0-5,1894.0
981,90056,>65,6767.0
982,90070,>65,7673.0
983,90084,>65,68095.0
984,90091,>65,4231.0
985,90105,6-11,18682.0
986,90112,6-11,2451.0
987,90119,12-18,11669.0
988,90119,19-65,63511.0
989,94011,6-11,715.0
990,94015,0-5,6135.0
991,02000,0-5,155314.0
992,06007,12-18,1671.0
993,06007,19-65,10367.0
994,06021,6-11,1166.0
995,06035,0-5,22784.0
996,06042,12-18,2541.0
997,06042,19-65,12526.0
998,06049,12-18,8263.0
999,06049,19-65,43754.0
1000,06056,0-5,22621.0
1001,06063,12-18,4982.0
1002,06063,19-65,28622.0
